UF,IBGE,Municipio,CNES,EAS,Peso_Muito_Baixo_Quantidade,Peso_Muito_Baixo_Porcentagem,Peso_Baixo_Quantidade,Peso_Baixo_Porcentagem,Peso_Adequado_Quantidade,Peso_Adequado_Porcentagem,Peso_Elevado_Quantidade,Peso_Elevado_Porcentagem,Total,Local,Ano,Faixa_Etaria,Magreza_Acentuada_Qtd,Magreza_Acentuada_Pct,Magreza_Qtd,Magreza_Pct,Eutrofia_Qtd,Eutrofia_Pct,Sobrepeso_Qtd,Sobrepeso_Pct,Obesidade_Qtd,Obesidade_Pct,Obesidade_Grave_Qtd,Obesidade_Grave_Pct,cnes,lat_ubs,lon_ubs,qtd_esc_publicas,qtd_esc_privadas,qtd_fastfood,qtd_supermercados,qtd_pracas_esporte,acesso_transporte,Faixa_Etaria_Cod,Tendencia_Obesidade,Obesidade_Ano_Anterior,Delta_Obesidade,Status,Delta_Predito
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,473.0,SP,2021,0 a 18 anos,,,8.0,1.6913319238900637,343.0,72.51585623678648,31.0,6.553911205073996,91.0,19.23890063424947,10.0,2.1141649048625792,2030462,-22.408,-47.575,5,0,7,8,62,38,0,19.880980346096624,16.8013468013468,3.079633544749825,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,1059.0,SP,2022,0 a 18 anos,,,29.0,2.7384324834749765,836.0,78.9423984891407,50.0,4.721435316336167,144.0,13.59773371104816,24.0,2.26628895184136,2030462,-22.408,-47.575,5,0,7,8,62,38,0,17.006150842371937,19.880980346096624,-2.874829503724687,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,691.0,SP,2023,0 a 18 anos,,,21.0,3.039073806078148,534.0,77.27930535455862,53.0,7.670043415340087,83.0,12.011577424023155,8.0,1.1577424023154848,2030462,-22.408,-47.575,5,0,7,8,62,38,0,14.949403923106928,17.006150842371937,-2.0567469192650094,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,1286.0,SP,2024,0 a 18 anos,,,21.0,1.6329704510108864,1049.0,81.57076205287714,61.0,4.743390357698289,155.0,12.052877138413685,9.0,0.6998444790046656,2030462,-22.408,-47.575,5,0,7,8,62,38,0,12.554062757828333,14.949403923106928,-2.3953411652785945,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,660.0,SP,2025,0 a 18 anos,,,9.0,1.3636363636363635,519.0,78.63636363636364,29.0,4.393939393939394,103.0,15.606060606060607,7.0,1.0606060606060608,2030462,-22.408,-47.575,5,0,7,8,62,38,0,13.223505056165815,12.554062757828333,0.669442298337481,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,45.0,SP,2010,0 a 18 anos,,,2.0,4.444444444444445,39.0,86.66666666666667,0.0,0.0,4.0,8.88888888888889,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,10.213675213675213,11.538461538461538,-1.3247863247863254,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,59.0,SP,2011,0 a 18 anos,,,3.0,5.084745762711865,48.0,81.35593220338984,0.0,0.0,8.0,13.559322033898304,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,11.328890820416243,10.213675213675213,1.11521560674103,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,51.0,SP,2012,0 a 18 anos,,,2.0,3.92156862745098,42.0,82.35294117647058,0.0,0.0,7.0,13.725490196078432,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,12.057900372955208,11.328890820416243,0.7290095525389653,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,71.0,SP,2013,0 a 18 anos,,,2.0,2.8169014084507045,57.0,80.28169014084507,0.0,0.0,12.0,16.901408450704224,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,14.728740226893654,12.057900372955208,2.670839853938446,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,23.0,SP,2014,0 a 18 anos,,,1.0,4.3478260869565215,22.0,95.65217391304348,0.0,0.0,0.0,0.0,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,10.208966215594218,14.728740226893654,-4.519774011299436,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,54.0,SP,2015,0 a 18 anos,,,3.0,5.555555555555555,45.0,83.33333333333334,0.0,0.0,6.0,11.11111111111111,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,9.337506520605112,10.208966215594218,-0.871459694989106,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,36.0,SP,2016,0 a 18 anos,,,0.0,0.0,28.0,77.77777777777779,0.0,0.0,8.0,22.22222222222222,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,11.111111111111109,9.337506520605112,1.7736045905059967,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,40.0,SP,2017,0 a 18 anos,,,1.0,2.5,34.0,85.0,2.0,5.0,3.0,7.5,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,13.611111111111109,11.111111111111109,2.5,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,19.0,SP,2018,0 a 18 anos,,,1.0,5.263157894736842,13.0,68.42105263157895,5.0,26.31578947368421,0.0,0.0,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,9.907407407407407,13.611111111111109,-3.7037037037037024,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,21.0,SP,2019,0 a 18 anos,,,2.0,9.523809523809524,11.0,52.38095238095239,5.0,23.809523809523807,3.0,14.285714285714285,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,7.261904761904762,9.907407407407407,-2.6455026455026447,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,21.0,SP,2020,0 a 18 anos,,,0.0,0.0,18.0,85.71428571428571,1.0,4.761904761904762,2.0,9.523809523809524,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,7.936507936507937,7.261904761904762,0.6746031746031749,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,6.0,SP,2021,0 a 18 anos,,,0.0,0.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,7.936507936507937,7.936507936507937,0.0,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,996.0,SP,2022,0 a 18 anos,,,22.0,2.208835341365462,683.0,68.57429718875501,155.0,15.562248995983936,136.0,13.654618473895583,26.0,2.610441767068273,2031922,-22.425,-47.555,4,0,4,6,30,44,0,7.726142665901702,7.936507936507937,-0.21036527060623467,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,1540.0,SP,2023,0 a 18 anos,,,38.0,2.467532467532468,1146.0,74.41558441558442,154.0,10.0,202.0,13.116883116883116,37.0,2.4025974025974026,2031922,-22.425,-47.555,4,0,4,6,30,44,0,8.923833863592899,7.726142665901702,1.1976911976911966,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,1884.0,SP,2024,0 a 18 anos,,,48.0,2.547770700636943,1403.0,74.4692144373673,200.0,10.615711252653927,233.0,12.367303609341826,27.0,1.4331210191082804,2031922,-22.425,-47.555,4,0,4,6,30,44,0,13.046268400040177,8.923833863592899,4.122434536447278,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,550.025,SP,2025,0 a 18 anos,,,47.0,8.545066133357574,1092.0,198.53643016226536,201.0,36.54379346393346,234.0,42.54352074905686,29.0,5.272487614199354,2031922,-22.425,-47.555,4,0,4,6,30,44,0,22.6759024917606,13.046268400040177,9.629634091720423,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,53.0,SP,2010,0 a 18 anos,,,0.0,0.0,50.0,94.33962264150944,0.0,0.0,3.0,5.660377358490567,0.0,0.0,2033186,-22.418,-47.585,6,0,1,5,24,29,0,8.385744234800839,11.11111111111111,-2.7253668763102716,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,120.0,SP,2011,0 a 18 anos,,,4.0,3.333333333333333,103.0,85.83333333333333,0.0,0.0,13.0,10.833333333333334,0.0,0.0,2033186,-22.418,-47.585,6,0,1,5,24,29,0,9.201607267645004,8.385744234800839,0.815863032844165,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,54.0,SP,2012,0 a 18 anos,,,0.0,0.0,47.0,87.03703703703704,0.0,0.0,7.0,12.962962962962962,0.0,0.0,2033186,-22.418,-47.585,6,0,1,5,24,29,0,9.818891218262287,9.201607267645004,0.6172839506172831,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,78.0,SP,2013,0 a 18 anos,,,1.0,1.282051282051282,69.0,88.46153846153845,0.0,0.0,8.0,10.256410256410255,0.0,0.0,2033186,-22.418,-47.585,6,0,1,5,24,29,0,11.350902184235517,9.818891218262287,1.53201096597323,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,63.0,SP,2014,0 a 18 anos,,,3.0,4.761904761904762,57.0,90.47619047619048,0.0,0.0,3.0,4.761904761904762,0.0,0.0,2033186,-22.418,-47.585,6,0,1,5,24,29,0,9.327092660425993,11.350902184235517,-2.0238095238095237,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,85.0,SP,2015,0 a 18 anos,,,3.0,3.5294117647058822,72.0,84.70588235294117,0.0,0.0,10.0,11.76470588235294,0.0,0.0,2033186,-22.418,-47.585,6,0,1,5,24,29,0,8.927673633555985,9.327092660425993,-0.3994190268700084,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,22.0,SP,2016,0 a 18 anos,,,1.0,4.545454545454546,20.0,90.9090909090909,0.0,0.0,1.0,4.545454545454546,0.0,0.0,2033186,-22.418,-47.585,6,0,1,5,24,29,0,7.024021729904082,8.927673633555985,-1.9036519036519026,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,140.0,SP,2017,0 a 18 anos,,,3.0,2.142857142857143,105.0,75.0,16.0,11.428571428571429,16.0,11.428571428571429,1.0,0.7142857142857143,2033186,-22.418,-47.585,6,0,1,5,24,29,0,9.246243952126305,7.024021729904082,2.2222222222222223,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,34.0,SP,2018,0 a 18 anos,,,3.0,8.823529411764707,25.0,73.52941176470588,1.0,2.941176470588235,5.0,14.705882352941178,0.0,0.0,2033186,-22.418,-47.585,6,0,1,5,24,29,0,10.22663610898905,9.246243952126305,0.9803921568627452,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,36.0,SP,2019,0 a 18 anos,,,2.0,5.555555555555555,27.0,75.0,3.0,8.333333333333332,4.0,11.11111111111111,0.0,0.0,2033186,-22.418,-47.585,6,0,1,5,24,29,0,12.41518829754124,10.22663610898905,2.1885521885521904,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,73.0,SP,2020,0 a 18 anos,,,4.0,5.47945205479452,43.0,58.9041095890411,11.0,15.068493150684931,15.0,20.54794520547945,2.0,2.73972602739726,2033186,-22.418,-47.585,6,0,1,5,24,29,0,15.45497955651058,12.41518829754124,3.0397912589693394,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,81.0,SP,2021,0 a 18 anos,,,1.0,1.2345679012345678,50.0,61.72839506172839,10.0,12.34567901234568,20.0,24.69135802469136,5.0,6.172839506172839,2033186,-22.418,-47.585,6,0,1,5,24,29,0,18.783471447093973,15.45497955651058,3.3284918905833933,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,370.0,SP,2022,0 a 18 anos,,,7.0,1.891891891891892,283.0,76.48648648648648,30.0,8.108108108108109,50.0,13.513513513513514,7.0,1.891891891891892,2033186,-22.418,-47.585,6,0,1,5,24,29,0,19.584272247894773,18.783471447093973,0.8008008008008005,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,427.0,SP,2023,0 a 18 anos,,,11.0,2.576112412177986,316.0,74.00468384074942,39.0,9.133489461358314,61.0,14.285714285714285,7.0,1.639344262295082,2033186,-22.418,-47.585,6,0,1,5,24,29,0,17.496861941306385,19.584272247894773,-2.0874103065883887,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,478.0,SP,2024,0 a 18 anos,,,14.0,2.928870292887029,346.0,72.38493723849372,53.0,11.08786610878661,65.0,13.598326359832637,7.0,1.4644351464435146,2033186,-22.418,-47.585,6,0,1,5,24,29,0,13.799184719686812,17.496861941306385,-3.697677221619573,DADO HISTÓRICO,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,,,,,,,,,436.0,SP,2025,0 a 18 anos,,,11.0,2.522935779816514,321.0,73.62385321100918,43.0,9.862385321100918,61.0,13.990825688073391,8.0,1.834862385321101,2033186,-22.418,-47.585,6,0,1,5,24,29,0,13.958288777873436,13.799184719686812,0.15910405818662454,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI,,,,,,,,,8.0,SP,2010,0 a 18 anos,,,0.0,0.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2049163,-22.34,-47.565,0,0,0,0,0,0,0,6.25,12.5,-6.25,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI FARMACEUTICO ANTONIO GILBERTO FONSECA,,,,,,,,,27.0,SP,2011,0 a 18 anos,,,0.0,0.0,24.0,88.88888888888889,0.0,0.0,3.0,11.11111111111111,0.0,0.0,2049163,-22.34,-47.565,0,0,0,0,0,0,0,7.87037037037037,6.25,1.6203703703703702,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI,,,,,,,,,18.0,SP,2012,0 a 18 anos,,,0.0,0.0,17.0,94.44444444444444,0.0,0.0,1.0,5.555555555555555,0.0,0.0,2049163,-22.34,-47.565,0,0,0,0,0,0,0,5.5555555555555545,7.87037037037037,-2.3148148148148158,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI,,,,,,,,,37.0,SP,2013,0 a 18 anos,,,0.0,0.0,30.0,81.08108108108108,0.0,0.0,7.0,18.91891891891892,0.0,0.0,2049163,-22.34,-47.565,0,0,0,0,0,0,0,11.861861861861861,5.5555555555555545,6.306306306306307,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI,,,,,,,,,33.0,SP,2014,0 a 18 anos,,,0.0,0.0,31.0,93.93939393939394,0.0,0.0,2.0,6.0606060606060606,0.0,0.0,2049163,-22.34,-47.565,0,0,0,0,0,0,0,10.178360178360178,11.861861861861861,-1.6835016835016834,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI,,,,,,,,,24.0,SP,2015,0 a 18 anos,,,2.0,8.333333333333332,20.0,83.33333333333334,0.0,0.0,2.0,8.333333333333332,0.0,0.0,2049163,-22.34,-47.565,0,0,0,0,0,0,0,11.104286104286103,10.178360178360178,0.9259259259259256,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI,,,,,,,,,13.0,SP,2016,0 a 18 anos,,,1.0,7.6923076923076925,10.0,76.92307692307693,0.0,0.0,2.0,15.384615384615383,0.0,0.0,2049163,-22.34,-47.565,0,0,0,0,0,0,0,9.926184926184924,11.104286104286103,-1.1781011781011799,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI,,,,,,,,,68.0,SP,2017,0 a 18 anos,,,1.0,1.4705882352941175,53.0,77.94117647058823,4.0,5.88235294117647,10.0,14.705882352941178,2.0,2.941176470588235,2049163,-22.34,-47.565,0,0,0,0,0,0,0,12.80794369029663,9.926184926184924,2.881758764111707,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI,,,,,,,,,62.0,SP,2018,0 a 18 anos,,,0.0,0.0,48.0,77.41935483870968,3.0,4.838709677419355,11.0,17.741935483870968,3.0,4.838709677419355,2049163,-22.34,-47.565,0,0,0,0,0,0,0,15.94414440714251,12.80794369029663,3.136200716845879,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI,,,,,,,,,33.0,SP,2019,0 a 18 anos,,,0.0,0.0,27.0,81.81818181818183,2.0,6.0606060606060606,4.0,12.12121212121212,0.0,0.0,2049163,-22.34,-47.565,0,0,0,0,0,0,0,14.85634331934142,15.94414440714251,-1.0878010878010897,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI,,,,,,,,,49.0,SP,2020,0 a 18 anos,,,0.0,0.0,36.0,73.46938775510205,6.0,12.244897959183673,7.0,14.285714285714285,2.0,4.081632653061225,2049163,-22.34,-47.565,0,0,0,0,0,0,0,14.716287296932457,14.85634331934142,-0.1400560224089631,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI,,,,,,,,,123.0,SP,2021,0 a 18 anos,,,1.0,0.8130081300813009,71.0,57.72357723577236,20.0,16.260162601626014,31.0,25.203252032520325,8.0,6.504065040650407,2049163,-22.34,-47.565,0,0,0,0,0,0,0,17.20339281314891,14.716287296932457,2.4871055162164524,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI FARMACEUTICO ANTONIO GILBERTO FONSECA,,,,,,,,,342.0,SP,2022,0 a 18 anos,,,7.0,2.046783625730994,262.0,76.60818713450293,31.0,9.064327485380115,42.0,12.280701754385964,8.0,2.3391812865497075,2049163,-22.34,-47.565,0,0,0,0,0,0,0,17.25655602420686,17.20339281314891,0.05316321105794941,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI FARMACEUTICO ANTONIO GILBERTO FONSECA,,,,,,,,,365.0,SP,2023,0 a 18 anos,,,7.0,1.9178082191780823,281.0,76.98630136986301,33.0,9.04109589041096,44.0,12.054794520547944,9.0,2.4657534246575343,2049163,-22.34,-47.565,0,0,0,0,0,0,0,16.512916102484745,17.25655602420686,-0.7436399217221137,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI FARMACEUTICO ANTONIO GILBERTO FONSECA,,,,,,,,,357.0,SP,2024,0 a 18 anos,,,5.0,1.400560224089636,268.0,75.07002801120449,29.0,8.123249299719888,55.0,15.406162464985997,9.0,2.5210084033613445,2049163,-22.34,-47.565,0,0,0,0,0,0,0,13.247219579973303,16.512916102484745,-3.2656965225114423,DADO HISTÓRICO,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI FARMACEUTICO ANTONIO GILBERTO FONSECA,,,,,,,,,436.0,SP,2025,0 a 18 anos,,,7.0,1.6055045871559634,318.0,72.93577981651376,31.0,7.110091743119266,80.0,18.34862385321101,19.0,4.357798165137615,2049163,-22.34,-47.565,0,0,0,0,0,0,0,15.26986027958165,13.247219579973303,2.0226406996083472,DADO HISTÓRICO,
SP,354390,RIO CLARO,2055821,UBS PSF DA ASSISTENCIA,,,,,,,,,15.0,SP,2010,0 a 18 anos,,,2.0,13.333333333333334,12.0,80.0,0.0,0.0,1.0,6.666666666666667,0.0,0.0,2055821,-22.43,-47.56,4,0,4,6,35,48,0,3.3333333333333335,0.0,3.3333333333333335,DADO HISTÓRICO,
SP,354390,RIO CLARO,2055821,UBS PSF DA ASSISTENCIA,,,,,,,,,11.0,SP,2011,0 a 18 anos,,,1.0,9.090909090909092,9.0,81.81818181818183,0.0,0.0,1.0,9.090909090909092,0.0,0.0,2055821,-22.43,-47.56,4,0,4,6,35,48,0,5.252525252525253,3.3333333333333335,1.9191919191919191,DADO HISTÓRICO,
SP,354390,RIO CLARO,2055821,UBS PSF DA ASSISTENCIA,,,,,,,,,7.0,SP,2012,0 a 18 anos,,,0.0,0.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2055821,-22.43,-47.56,4,0,4,6,35,48,0,5.2525252525252535,5.252525252525253,8.881784197001252e-16,DADO HISTÓRICO,
SP,354390,RIO CLARO,2055821,UBS PSF DA ASSISTENCIA,,,,,,,,,7.0,SP,2013,0 a 18 anos,,,1.0,14.285714285714285,6.0,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,2055821,-22.43,-47.56,4,0,4,6,35,48,0,3.030303030303031,5.2525252525252535,-2.2222222222222223,DADO HISTÓRICO,
SP,354390,RIO CLARO,2055821,UBS PSF DA ASSISTENCIA,,,,,,,,,9.0,SP,2014,0 a 18 anos,,,0.0,0.0,8.0,88.88888888888889,0.0,0.0,1.0,11.11111111111111,0.0,0.0,2055821,-22.43,-47.56,4,0,4,6,35,48,0,3.7037037037037037,3.030303030303031,0.6734006734006726,DADO HISTÓRICO,
SP,354390,RIO CLARO,2055821,UBS PSF DA ASSISTENCIA,,,,,,,,,18.0,SP,2015,0 a 18 anos,,,0.0,0.0,16.0,88.88888888888889,0.0,0.0,2.0,11.11111111111111,0.0,0.0,2055821,-22.43,-47.56,4,0,4,6,35,48,0,7.407407407407407,3.7037037037037037,3.7037037037037037,DADO HISTÓRICO,
