Tabela,Colunas (Tipos),RLS,Políticas de Acesso
escolas,"id (bigint), nome (character varying), bairro (character varying)",ATIVADO,Allow delete for superadmin [DELETE -> {authenticated}] | Allow insert for superadmin [INSERT -> {authenticated}] | Allow select for authenticated [SELECT -> {authenticated}] | Allow update for superadmin [UPDATE -> {authenticated}] | Permitir inserção de escolas pelo Superadmin [INSERT -> {public}] | Permitir leitura pública de escolas [SELECT -> {public}]
previsoes_nutricionais,"id (bigint), cnes (character varying), ano (integer), faixa_etaria_cod (integer), status (character varying), tipo_projecao (character varying), magreza_acentuada_pct (numeric), magreza_pct (numeric), eutrofia_pct (numeric), sobrepeso_pct (numeric), obesidade_pct (numeric), obesidade_grave_pct (numeric), delta_predito (numeric), delta_predito_obesidade (numeric), delta_predito_desnutricao (numeric), delta_predito_magreza (numeric), delta_predito_sobrepeso (numeric), delta_predito_eutrofia (numeric), created_at (timestamp with time zone)",ATIVADO,Permitir leitura para o dashboard [SELECT -> {public}] | Permitir escrita exclusiva para a conta do ML [ALL -> {authenticated}]
registros_saude,"id (bigint), data_coleta (timestamp with time zone), escola_id (bigint), idade (bigint), genero (character varying), peso (numeric), altura (numeric)",ATIVADO,Select [SELECT -> {public}]
usuarios,"id (uuid), email (character varying), nome (character varying), role (character varying), escola_id (bigint), criado_em (timestamp with time zone)",ATIVADO,Allow select for owner and superadmin [SELECT -> {authenticated}] | Allow update for owner and superadmin [UPDATE -> {authenticated}] | Allow insert for owner and superadmin [INSERT -> {public}] | Usuários podem ver seu próprio perfil [SELECT -> {public}] | Allow delete for superadmin [DELETE -> {authenticated}] | Superadmin pode ver todos os perfis [SELECT -> {public}]
